LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
10000.0,1.0,0.0,1.0,34.0,4.0,-2.0,4.0,7.0,-2.0,-2.0,-81.0,304868.0,-200.0,-212.0,-232.0,-26.0,0.0,0.0,0.0,696886.0,0.0,0.0,1.0
10000.0,1.0,0.0,0.0,33.0,5.0,-2.0,3.0,3.0,-2.0,-2.0,-81.0,134063.0,-200.0,-212.0,30597.0,161724.0,328196.0,0.0,0.0,580922.0,57779.0,19687.0,0.0
166253.0,1.0,0.0,1.0,25.0,2.0,-2.0,2.0,-2.0,-2.0,-1.0,-81.0,111875.0,-200.0,26908.0,100131.0,58840.0,0.0,0.0,0.0,175501.0,66524.0,189622.0,0.0
10000.0,1.0,0.0,1.0,36.0,0.0,0.0,0.0,3.0,-2.0,-2.0,-81.0,98089.0,-200.0,7457.0,-232.0,73587.0,0.0,0.0,0.0,248559.0,0.0,91539.0,0.0
10000.0,1.0,1.0,1.0,30.0,2.0,-2.0,2.0,1.0,-2.0,-2.0,-81.0,150647.0,-200.0,49737.0,2087.0,-331.0,0.0,0.0,0.0,177404.0,0.0,170070.0,0.0
10000.0,1.0,2.0,1.0,45.0,-2.0,-2.0,0.0,4.0,-2.0,-2.0,-81.0,127745.0,2865.0,-212.0,-232.0,46704.0,0.0,0.0,0.0,333048.0,0.0,274750.0,0.0
19470.0,1.0,1.0,0.0,25.0,0.0,-2.0,3.0,3.0,-2.0,-2.0,73311.0,71601.0,-200.0,15164.0,-232.0,62994.0,0.0,0.0,0.0,159711.0,0.0,280461.0,0.0
10000.0,1.0,0.0,0.0,21.0,2.0,-2.0,4.0,4.0,-2.0,-1.0,255535.0,149234.0,-200.0,11340.0,-232.0,-331.0,0.0,0.0,0.0,47017.0,0.0,0.0,0.0
220045.0,1.0,0.0,1.0,29.0,2.0,-2.0,2.0,1.0,-2.0,-2.0,-81.0,115486.0,-200.0,-212.0,78108.0,125479.0,41447.0,0.0,0.0,387225.0,15327.0,102107.0,0.0
10000.0,1.0,1.0,1.0,24.0,2.0,-2.0,3.0,-1.0,-2.0,-0.0,-81.0,159672.0,-200.0,66539.0,75682.0,60344.0,0.0,0.0,0.0,314299.0,4302.0,166392.0,0.0
261760.0,1.0,0.0,0.0,31.0,-1.0,-1.0,-1.0,4.0,-2.0,-2.0,4529.0,69172.0,-200.0,91765.0,-232.0,60811.0,0.0,0.0,0.0,153320.0,0.0,70738.0,0.0
49466.0,1.0,1.0,1.0,34.0,-2.0,-1.0,0.0,2.0,-2.0,-2.0,-81.0,46044.0,-200.0,80230.0,8876.0,109356.0,0.0,0.0,0.0,190820.0,0.0,195253.0,0.0
156481.0,1.0,0.0,0.0,21.0,2.0,-2.0,3.0,2.0,-2.0,-1.0,135911.0,179939.0,-200.0,60008.0,-232.0,42610.0,0.0,0.0,0.0,365117.0,84800.0,0.0,0.0
10000.0,1.0,0.0,0.0,28.0,5.0,-2.0,3.0,-1.0,-2.0,-2.0,-81.0,195835.0,-200.0,134757.0,83228.0,106124.0,217265.0,0.0,0.0,575580.0,10208.0,0.0,0.0
28236.0,1.0,1.0,1.0,44.0,0.0,-2.0,2.0,4.0,-2.0,-2.0,-81.0,143411.0,-200.0,3158.0,8886.0,151647.0,0.0,0.0,0.0,655340.0,0.0,155446.0,0.0
10000.0,1.0,1.0,2.0,37.0,2.0,0.0,3.0,4.0,-2.0,-2.0,-81.0,148999.0,-200.0,15552.0,-232.0,86458.0,0.0,0.0,0.0,519102.0,0.0,186055.0,0.0
275040.0,1.0,0.0,0.0,21.0,7.0,0.0,3.0,5.0,-2.0,-2.0,-81.0,138781.0,-200.0,-212.0,-232.0,3649.0,0.0,0.0,0.0,243861.0,67547.0,40182.0,0.0
298065.0,1.0,0.0,0.0,24.0,1.0,-1.0,0.0,2.0,-2.0,-0.0,129450.0,96098.0,-200.0,53863.0,-232.0,-331.0,0.0,0.0,0.0,38027.0,27597.0,34051.0,0.0
210258.0,1.0,0.0,0.0,26.0,-1.0,-2.0,2.0,-0.0,-2.0,-1.0,20582.0,106862.0,-200.0,-212.0,65330.0,65972.0,0.0,0.0,0.0,138601.0,17725.0,168711.0,0.0
10000.0,1.0,0.0,0.0,21.0,6.0,-2.0,4.0,3.0,-2.0,-2.0,154991.0,43765.0,-200.0,-212.0,-232.0,95290.0,257014.0,0.0,0.0,73539.0,143511.0,257925.0,0.0
10000.0,1.0,1.0,0.0,25.0,2.0,-2.0,3.0,3.0,-2.0,-2.0,77766.0,129000.0,-200.0,67641.0,-232.0,19331.0,0.0,0.0,0.0,255283.0,0.0,149781.0,0.0
78469.0,1.0,0.0,1.0,36.0,-1.0,-2.0,3.0,4.0,-2.0,-2.0,-81.0,147850.0,-200.0,-212.0,6588.0,152980.0,0.0,0.0,0.0,546585.0,0.0,88412.0,0.0
10000.0,1.0,0.0,0.0,23.0,5.0,-2.0,1.0,6.0,-2.0,-2.0,62859.0,128472.0,-200.0,75865.0,-232.0,-331.0,0.0,0.0,0.0,151640.0,0.0,0.0,0.0
122284.0,1.0,0.0,0.0,21.0,6.0,-1.0,4.0,2.0,-2.0,-2.0,172261.0,43241.0,-200.0,9656.0,-232.0,40248.0,58845.0,0.0,0.0,105129.0,151233.0,286889.0,0.0
10000.0,1.0,1.0,1.0,36.0,-0.0,-2.0,1.0,1.0,-2.0,-2.0,-81.0,148390.0,-200.0,118506.0,-232.0,61992.0,0.0,0.0,0.0,394379.0,0.0,149369.0,0.0
10000.0,1.0,2.0,1.0,45.0,5.0,-0.0,2.0,3.0,-2.0,-2.0,-81.0,224202.0,-200.0,-212.0,-232.0,26461.0,107842.0,0.0,0.0,543278.0,0.0,43575.0,1.0
298664.0,1.0,0.0,0.0,29.0,1.0,-2.0,1.0,1.0,-2.0,-2.0,-81.0,140569.0,-200.0,-212.0,88139.0,120023.0,217204.0,0.0,0.0,361092.0,95656.0,0.0,0.0
10000.0,1.0,0.0,1.0,22.0,0.0,-2.0,2.0,-0.0,-2.0,-1.0,69108.0,153850.0,-200.0,134491.0,9193.0,-331.0,0.0,0.0,0.0,197207.0,0.0,233269.0,0.0
10000.0,1.0,1.0,0.0,30.0,1.0,0.0,2.0,4.0,-2.0,-2.0,3351.0,104822.0,-200.0,80168.0,-232.0,23027.0,0.0,0.0,0.0,200395.0,0.0,6798.0,0.0
40713.0,1.0,0.0,0.0,27.0,1.0,-2.0,0.0,0.0,-2.0,-1.0,71393.0,111233.0,-200.0,58243.0,7360.0,-331.0,0.0,0.0,0.0,36622.0,0.0,51265.0,0.0
10000.0,1.0,1.0,1.0,32.0,1.0,1.0,3.0,5.0,-2.0,-2.0,-81.0,176570.0,-200.0,91520.0,-232.0,23159.0,0.0,0.0,0.0,446527.0,0.0,29861.0,0.0
10000.0,1.0,0.0,1.0,24.0,1.0,-2.0,2.0,0.0,-2.0,-1.0,33463.0,132768.0,-200.0,116206.0,1176.0,18078.0,0.0,0.0,0.0,210863.0,0.0,190233.0,0.0
